,Prostate_03-138A_prednisone,Prostate_03-135C_none,Prostate_03-158F_none,Prostate_03-155C_low-fat_diet,Prostate_03-143C_none,Prostate_03-060A_none,Prostate_03-066C_none_GL3,Prostate_03-066C_none_GL4,Prostate_03-159_none,Prostate_03-021F_selenium,Prostate_02-003E_none,Prostate_03-207C_fish_oil,Prostate_04-023C_none,Prostate_03-115E_none_GL4,Prostate_03-068D_no_neoadjuvant_GL5,Prostate_03-068D_no_neoadjuvant_GL3,Prostate_03-141C_none,Prostate_02-053C_none,Prostate_04-030A_none,Prostate_03-093D_none,Prostate_03-089D_selenium,Prostate_03-184C_none,Prostate_03-152A_Vit_E,Prostate_03-029B_none,Prostate_03-015F_no_neoadjuvant,Prostate_03-119D_none,Prostate_03-140B_fish_oil,Prostate_03-115E_none_GL5,Prostate_03-116C_none,Prostate_03-063A_none,Prostate_03-055H_Vit_E
G89689_CA308852_SOD2,-0.082,0.133,1.102,-0.83700001,0.34400001,-0.38100001,-1.06299996,-0.35299999,-0.38800001,0.86299998,-2.67199993,1.16600001,-1.26600003,-2.87899995,-3.23300004,-1.87199998,-2.06500006,-1.75399995,-0.40799999,-2.55100012,-0.171,0.097,-2.26300001,0.85100001,0.53899997,-1.57000005,1.10500002,-1.99699998,0.359,-1.60099995,-3.34200001
G89690_AW207379_PDLIM5,-0.078,-0.58700001,-1.09500003,-0.16599999,-0.193,-0.095,0.029,-0.22400001,-0.062,-0.49900001,-0.667,-0.44100001,0.141,-0.42300001,-0.55699998,-0.64700001,-0.94499999,-0.48500001,-0.029,-0.345,0.21600001,-0.198,-0.84799999,-0.207,-1.329,-0.222,-0.02,-1.55700004,-0.84899998,0.031,-0.54799998
G89691_BG770109_PIN4,0.64600003,0.31299999,1.28699994,0.027,0.47099999,0.124,-0.249,0.055,0.84500003,0.075,1.39499998,-0.109,0.27700001,1.16799998,0.44999999,0.182,0.20999999,-0.39199999,0.28200001,1.24399996,0.12,0.671,0.62,0.204,0.778,0.148,-0.079,0.73100001,0.191,0.433,0.71499997
G89692_BG574457_ATF4,0.63300002,0.63099998,-0.049,0.149,0.40099999,-0.345,0.15000001,0.119,0.18799999,0.255,0.068,0.382,-0.51700002,-0.14300001,-1.45700002,-0.38699999,-0.153,-0.42300001,0.15099999,-0.574,0.139,0.008,0.208,0.458,0.226,-0.045,0.764,-0.146,0.37900001,0.228,-0.354
G89693_BC032437_HNRPA3,0.114,0.435,1.14199996,0.28600001,0.184,0.184,-0.26100001,-0.084,0.94599998,0.602,1.30599999,0.50400001,-0.15000001,0.71200001,0.164,-0.65600002,0.36000001,-0.336,0.36300001,0.074,0.108,0.278,0.70700002,-0.68699998,-0.56300002,-0.056,-0.132,1.02400005,-0.61699998,-0.755,0.48899999
G89694_CB108779_PEA15,-1.01600003,0.40400001,-0.574,-0.84600002,-0.063,-0.373,-0.704,-0.64600003,0.44299999,0.023,0.32499999,0.014,-0.60399997,-0.331,-0.77899998,-0.347,0.23100001,-1.07599998,0.67500001,-0.301,-0.102,1.13999999,-0.18700001,0.134,0.108,-0.12800001,-0.236,-0.74599999,0.317,-1.347,-0.28200001
G89695_AI922889_0,1.22599995,-0.26199999,-1.22399998,-0.43099999,0.31900001,0.034,-0.88800001,0.046,-0.20100001,-1.12,-2.72300005,0.028,-0.588,0.289,0.55000001,-0.034,-0.50199997,-0.56099999,0.287,-0.141,-0.359,-0.16500001,-0.30899999,0.257,0.29300001,-0.076,0.88999999,-0.523,0.92500001,1.70599997,-0.96100003
G89696_AI346792_LENG5,0.12,0.114,0.066,-0.35800001,0.012,0.171,0.141,-0.034,0.35299999,-0.249,-0.92799997,-0.43099999,0.02,-0.059,0.29899999,0.078,-0.134,0.15800001,0.26100001,-0.127,-0.041,0.081,0.213,-0.067,-0.156,0.083,-0.27399999,-0.57800001,-0.27900001,0.87099999,-0.2
G89697_CR605734_PPP1R9B,0.025,-0.068,-0.116,-0.16,0.131,0.054,0.079,0.138,0.27000001,0.147,0.025,-0.019,-0.134,0.192,0.17299999,0.184,-0.142,0.30199999,-0.303,-0.17200001,-0.29499999,-0.29800001,0.028,0.025,-0.073,0.13500001,-0.057,-0.13500001,-0.042,-0.032,-0.111
G89698_AL834535_PAOX,0.69,0.233,1.13300002,-0.20299999,1.67200005,0.148,0.778,-0.208,-1.11699998,0.37099999,-0.192,-0.42899999,-0.62199998,0.30599999,0.213,-0.014,-0.075,-2.54500008,0.67299998,-0.053,-0.45300001,0.43700001,-2.08800006,0.40400001,0.60299999,-0.36500001,1.51600003,-0.45100001,-0.375,1.70099998,0.22499999
G89699_AI630726_LMAN1,0.01,-0.41499999,1.17400002,0.30700001,-0.574,0.098,-0.021,0.12,0.19,-0.405,-1.02600002,-0.096,-0.61799997,-0.852,-0.57499999,0.044,0.207,0.32499999,-0.105,-0.565,0.89700001,0.168,0.59399998,-0.329,0.042,0.85799998,-1.20599997,0.107,-0.583,-0.45300001,-0.352
G89700_BC043403_SH3YL1,-0.70700002,0.405,0.33700001,0.76499999,-0.072,0.509,-0.60100001,-0.40099999,-0.089,0.38999999,1.66400003,0.80400002,0.067,0.36500001,-0.013,0.33700001,0.634,-0.58999997,0.13,0.044,0.96399999,0.25299999,-0.57999998,-0.05,0.50999999,1.35899997,1.05999994,1.86000001,0.34799999,0.22,-0.064
G89701_0_0,-0.119,-0.71200001,-2.08599997,-0.89399999,-1.44700003,-0.25400001,0.34299999,-0.118,-1.81400001,-1.04900002,-5.50400019,-0.90100002,0.49200001,-1.625,-0.82099998,0.1,-0.94199997,0.29499999,0.183,-0.025,-0.30899999,-0.70899999,-1.38699996,-0.017,-1.097,-0.167,-0.99000001,-2.50999999,-0.528,1.16100001,-1.47800004
G89702_AV709353_ODAG,-0.21699999,-0.65600002,-1.88499999,-0.83499998,-1.53199995,-0.33000001,0.36300001,-0.111,-1.72599995,-1.02499998,-5.66499996,-0.935,0.34900001,-1.52100003,-0.611,0.26100001,-0.90499997,0.18000001,0.186,-0.122,-0.248,-0.72399998,-1.46000004,-0.206,-0.99800003,-0.198,-1.21700001,-2.24099994,-0.197,0.97600001,-1.36300004
G89703_0_0,-0.30500001,0.043,0.171,-0.237,-0.84600002,0.30700001,0.034,-0.30199999,-0.20100001,-0.324,-0.35100001,-0.142,-0.109,-0.044,0.359,-0.069,-0.375,-0.41299999,0.56400001,-0.058,-0.177,0.82599998,0.034,-0.228,-0.48899999,-0.175,-0.99199998,-0.65700001,-0.185,-0.35499999,0.31900001
G89704_AK057647_KIAA1324,-1.49000001,0.235,-1.83299994,-0.213,-1.43299997,0.031,0.11,-0.67400002,-1.37300003,-0.43700001,-0.87199998,-1.48000002,-2.52800012,-0.625,-4.09499979,0.352,-2.47900009,-0.075,-1.51300001,-0.27900001,-0.35600001,-0.73900002,0.093,-0.17399999,-0.27399999,0.81400001,-1.31700003,-0.89600003,-2.18000007,-0.66100001,-1.14499998
G89705_NM_019111_HLA-DRA,-1.08299994,1.97800004,-0.824,-1.94799995,0.495,-1.93400002,-1.96800005,-0.389,-0.50300002,0.505,-4.6880002,3.54099989,0.331,-3.31999993,-3.21700001,-0.23800001,-2.05299997,0.048,-1.023,-0.122,0.96600002,0.42399999,-1.14199996,-0.032,-2.83699989,-0.73000002,-1.60500002,-0.90799999,1.91400003,-2.85400009,-1.75999999
G89706_BI755143_DAPK2,-0.054,-0.75300002,-1.76400006,-0.79400003,-1.47899997,-0.169,0.54299998,-0.055,-1.54499996,-0.89200002,-6.67399979,-0.73000002,0.33399999,-1.30900002,-0.75999999,0.185,-0.81199998,0.207,0.171,0.1,-0.40799999,-0.484,-1.58299994,-0.163,-1.24800003,-0.003,-1.63499999,-2.08400011,-0.023,1.16600001,-1.33099997
G89707_BG756190_CCND2,-0.23,0.103,-1.11399996,-1.62899995,1.07700002,-0.089,0.255,0.66299999,-1.67700005,-0.26100001,-1.15600002,-0.30199999,-0.34099999,-2.13700008,-1.79499996,0.241,-2.57599998,-2.05900002,-0.133,-0.027,-0.36199999,1.88199997,-1.80400002,-0.23899999,-1.04200006,0.184,1.31200004,-2.02399993,0.88200003,-1.91600001,-2.15700006
G89708_AK025817_FLJ20308,-0.44299999,0.57999998,-0.19400001,0.336,-0.266,-0.099,-0.88599998,-0.215,0.47400001,-0.054,-0.54299998,0.189,0.19599999,-0.59899998,0.36399999,-0.044,-0.454,0.038,0.236,-0.023,-0.449,-0.465,0.097,-0.215,-0.25299999,0.49700001,-0.183,-0.29899999,-0.25600001,-0.74400002,0.93599999
G89709_CR607735_P4HB,-0.27700001,0.398,-1.204,0.48300001,-0.47099999,0.34999999,0.068,0.93199998,0.06,-0.075,-0.91900003,-0.111,0.31,0.62699997,-1.37399995,-0.053,-0.35699999,1.56200004,-0.588,-0.377,0.38600001,-1.33599997,1.199,0.454,0.63999999,0.84100002,-1.73599994,-0.63700002,-1.00100005,-0.242,-0.86799997
G89710_BP201153_MCAM,0.05,-0.56400001,-1.82099998,-0.861,-1.36300004,-0.171,0.53899997,-0.066,-1.35699999,-0.85299999,-3.08699989,-0.90799999,0.212,-1.30900002,-0.62199998,0.244,-0.85699999,0.37599999,0.17299999,0.066,-0.58999997,-0.708,-1.375,0.027,-1.05400002,0.109,-1.31900001,-2.05999994,-0.14399999,0.98000002,-0.87599999
G89711_CR606020_39340,-0.79400003,-0.092,0.995,0.42399999,0.43099999,0.25600001,-0.22400001,0.75999999,0.244,-0.41,1.19299996,-0.141,0.39399999,0.62900001,0.19400001,-0.542,0.433,-0.25799999,-0.139,-1.31599998,0.435,0.027,0.44,-0.68000001,-0.33700001,0.098,-1.67299998,1.09300005,-1.19700003,-1.68299997,0.36899999
G89712_AC093884_0,-0.19,-0.528,-1.50399995,-0.84799999,-1.22500002,-0.192,0.77399999,-0.191,-1.57200003,-0.755,-2.53399992,-1.11800003,0.294,-1.12100005,-0.62099999,0.55599999,-0.80000001,0.031,0.33000001,0.008,-0.88499999,-0.391,-1.72099996,0.089,-0.90799999,0.079,-0.65799999,-1.81200004,-0.23100001,0.98000002,-0.99599999
G89713_CR591025_TPD52,0.671,-0.27200001,2.87400007,1.61600006,0.89700001,0.68800002,0.347,0.72500002,1.92799997,0.227,1.96200001,1.42700005,0.028,0.65200001,-0.19400001,-0.51200002,1.597,-0.01,0.191,0.55699998,0.66900003,0.051,2.01900005,-0.081,1.13499999,0.62199998,-0.648,1.71599996,-0.89099997,-0.096,1.64999998
G89714_X14768_CCL2,-1.31299996,0.88499999,0.024,-2.79900002,-1.14499998,-1.09300005,-2.11599994,-0.58999997,-0.84899998,0.86199999,-3.73699999,-0.37799999,-0.88999999,-3.77999997,-2.17000008,-0.219,-3.51200008,-1.98199999,-1.82500005,-2.43099999,1.63,1.398,-2.58299994,-1.87800002,-1.14699996,-0.935,-1.78199995,-1.29299998,1.36500001,-2.97000003,-4.76800013
G89715_BF514189_SOCS3,-0.38999999,0.33199999,0.98799998,-2.71199989,0.60799998,-0.69400001,-2.43000007,-2.13499999,-1.32200003,0.58600003,-4.2249999,-0.41499999,-1.42900002,-2.68499994,-0.59899998,0.51999998,-3.74799991,-2.83500004,-1.53400004,-2.37299991,-0.51499999,0.74699998,-0.95700002,1.22500002,0.92900002,-0.773,-0.34599999,-3.14499998,0.22499999,-0.93800002,-4.33099985
G89716_BC030009_SEPP1,-0.36300001,-0.68599999,0.29699999,0.51999998,-0.67199999,-0.132,-0.47299999,-0.66399997,1.14100003,-0.49700001,0.317,1.43799996,-0.336,-1.44599998,-3.31900001,-0.88499999,-0.008,0.126,-0.741,-0.154,-0.43700001,-0.338,0.94599998,-0.124,-0.83999997,0.43099999,-2.09899998,-0.028,-1.27999997,-1.14499998,1.42799997
G89717_CN358821_DKFZp761C169,0.352,-0.49200001,0.36300001,-0.222,-0.368,-0.13500001,0.091,-0.25299999,-0.154,0.155,0.62300003,-0.17,-0.12899999,-0.50599998,-0.699,-0.006,0.18700001,0.243,0.06,-0.47999999,-0.091,-0.26699999,-0.46399999,-0.41999999,-0.315,-0.33700001,-0.289,0.025,-0.70300001,-0.93599999,-0.041
G89718_AK057845_EFNA1,-0.111,0.212,-0.366,-0.208,-1.82000005,-0.38299999,-0.138,-0.74699998,-0.949,-0.024,-0.294,0.134,-1.65199995,0.11,-0.57300001,0.059,-0.76700002,-1.90100002,0.69300002,-0.003,-1.39400005,-0.89999998,-0.46000001,0.035,-1.55599999,0.027,-0.63099998,-0.192,0.17399999,-0.57599998,-0.92000002
G89719_BQ632134_TXNDC9,0.176,0.66000003,1.21800005,1.10099995,0.72600001,0.15800001,-0.285,0.193,1.398,1.005,1.86600006,1.32799995,0.21699999,0.093,0.65200001,0.001,0.602,0.48199999,-0.602,-0.49599999,1.15999997,0.64499998,-0.067,-0.091,0.63099998,0.089,-0.11,2.15899992,-0.005,0.033,0.74400002
G89720_BG575774_HSPC171,-0.53600001,0.55900002,-0.58200002,0.249,-0.154,-0.081,-0.36300001,0.035,0.227,-0.472,0.55800003,0.322,-0.017,1.19799995,-0.115,-0.27599999,-0.903,-0.029,0.42500001,-0.45100001,0.22499999,-0.43099999,0.39700001,-0.21600001,0.013,0.142,-0.17200001,0.35699999,0.105,0.34400001,-0.38800001
G89722_BM471097_UBE2L6,-0.94499999,0.69800001,-0.60399997,0.667,0.17399999,-0.69999999,-0.53200001,-0.096,0.354,-0.161,-1.69299996,2.65499997,-1.48099995,-0.662,-0.27500001,-0.63700002,-1.778,1.07500005,-1.02900004,-0.414,-1.15400004,-0.25400001,-2.3269999,0.029,-0.366,-0.33000001,0.241,-1.324,1.12600005,-1.92799997,-0.30899999
G89723_AY029257_WDR19,0.214,-0.62300003,-0.47400001,-1.10899997,-0.212,-0.152,0.171,0.02,-0.87599999,-0.125,0.89399999,0.89499998,0.49700001,0.062,0.977,0.292,1.26300001,1.051,0.069,0.111,0.24699999,0.18799999,-1.04900002,-0.156,-0.64700001,-0.073,-0.077,-0.035,0.46000001,-0.06,0.38499999
G89724_BU677752_MGC11349,0.049,0.27399999,0.089,0.42399999,0.028,-0.045,-0.20200001,0.049,0.12800001,0.43099999,0.85500002,-1.352,0.331,-0.373,0.001,0.23199999,0.197,-0.025,-0.092,-0.046,0.27000001,0.037,-0.26699999,-0.18700001,-0.34099999,-0.113,0.43599999,-0.51499999,-0.015,-0.435,0.051
G89725_CD238953_0,0.40099999,-0.5,-0.80800003,0.213,-0.69300002,0.23100001,-0.29100001,0.80699998,0.098,-0.433,-1.921,0.294,-1.29799998,1.29200006,0.597,0.057,0.116,0.685,0.34400001,0.25799999,0.09,0.21600001,0.44299999,0.025,0.052,0.461,-0.296,0.583,0.55299997,1.39600003,-0.121
G89726_BQ883560_IGLC2,0.212,0.002,-0.67299998,0.118,0.004,-0.329,-0.37599999,0.78500003,-0.035,-0.465,-3.0769999,0.66500002,-0.79000002,1.52499998,1.00199997,-0.011,0.42399999,0.63999999,0.82700002,1.30900002,-0.031,0.39700001,-0.107,-0.149,0.32100001,0.085,0.55699998,0.51899999,1.44000006,3.08699989,0.054
G89727_CR605978_PLEKHA2,-0.25400001,-0.583,-0.53399998,-0.70899999,0.18700001,-0.116,0.171,-0.296,-1.55799997,-0.60799998,-1.86899996,-0.184,-0.12800001,-0.84799999,-1.528,-0.36000001,-1.01199996,-0.625,0.092,-0.69499999,-0.47999999,0.391,-1.17499995,-0.16500001,-0.39300001,-0.48100001,0.47,-1.67499995,0.097,-0.63499999,-1.40699995
G89728_AB033058_DLG3,0.71200001,0.26699999,-0.248,-0.099,-0.35299999,-0.27200001,1.171,0.176,0.42699999,-0.077,0.565,0.076,0.133,0.53899997,1.21800005,1.06900001,-0.266,0.82800001,-0.32499999,0.41499999,0.31999999,-0.48699999,-0.025,0.117,-0.121,-0.19,-0.39399999,-0.076,-0.72799999,-0.034,0.031
G89729_BC043190_ATBF1,-0.48500001,-0.42500001,-0.117,-0.52600002,-0.597,0.065,0.13600001,0.098,-0.824,-0.37599999,-2.16599989,-0.42899999,-0.37,-0.264,-2.1960001,-0.024,-2.58200002,-0.86500001,0.33500001,0.46799999,-0.588,-0.59899998,-0.32100001,0.34900001,-0.213,0.124,-0.117,-0.75400001,-0.48300001,0.333,-0.65799999
G89730_0_0,0.82300001,-0.115,0.208,-0.62099999,0.53899997,0.032,1.32000005,0.061,-1.80499995,-0.073,-0.122,-0.41299999,0.52200001,-1.67999995,-0.921,0.68300003,-0.301,-0.89399999,0.055,-0.38600001,-0.059,0.53299999,-1.75300002,0.178,-0.361,-0.25099999,0.76499999,-1.71300006,0.046,0.38999999,-0.266
G89731_AV685189_PLCB4,0.69,-0.49599999,-1.44799995,-0.15899999,-0.70899999,-0.204,0.236,0.465,-0.85299999,-1.15499997,-3.98399997,-0.528,-1.24399996,-1.00699997,0.34799999,0.92000002,-0.583,-0.39300001,0.449,0.22400001,-0.248,-0.66900003,-0.88300002,0.64200002,-0.40400001,0.40000001,-0.01,-0.62199998,0.73299998,1.35000002,-1.17999995
